STATISTIC,Statistic Label,Week,Year,C03132V03784,Luas Line,UNIT,VALUE
TII03C01,Passenger Journeys,28,2019,2,Green line,Number,440798
TII03C01,Passenger Journeys,29,2019,-,All Luas lines,Number,903958
TII03C01,Passenger Journeys,29,2019,1,Red line,Number,452205
TII03C01,Passenger Journeys,29,2019,2,Green line,Number,451753
TII03C01,Passenger Journeys,30,2019,-,All Luas lines,Number,926491
TII03C01,Passenger Journeys,30,2019,1,Red line,Number,469191
TII03C01,Passenger Journeys,30,2019,2,Green line,Number,457300
TII03C01,Passenger Journeys,31,2019,-,All Luas lines,Number,832452
TII03C01,Passenger Journeys,31,2019,1,Red line,Number,422939
TII03C01,Passenger Journeys,31,2019,2,Green line,Number,409513
TII03C01,Passenger Journeys,32,2019,-,All Luas lines,Number,807393
TII03C01,Passenger Journeys,32,2019,1,Red line,Number,423004
TII03C01,Passenger Journeys,32,2019,2,Green line,Number,384389
TII03C01,Passenger Journeys,33,2019,-,All Luas lines,Number,868677
TII03C01,Passenger Journeys,33,2019,1,Red line,Number,445915
TII03C01,Passenger Journeys,33,2019,2,Green line,Number,422762
TII03C01,Passenger Journeys,34,2019,-,All Luas lines,Number,862939
TII03C01,Passenger Journeys,34,2019,1,Red line,Number,448568
TII03C01,Passenger Journeys,34,2019,2,Green line,Number,414371
TII03C01,Passenger Journeys,35,2019,-,All Luas lines,Number,897355
TII03C01,Passenger Journeys,35,2019,1,Red line,Number,442634
TII03C01,Passenger Journeys,35,2019,2,Green line,Number,454721
TII03C01,Passenger Journeys,36,2019,-,All Luas lines,Number,933362
TII03C01,Passenger Journeys,36,2019,1,Red line,Number,454849
TII03C01,Passenger Journeys,36,2019,2,Green line,Number,478513
TII03C01,Passenger Journeys,37,2019,-,All Luas lines,Number,969818
TII03C01,Passenger Journeys,37,2019,1,Red line,Number,469489
TII03C01,Passenger Journeys,37,2019,2,Green line,Number,500329
TII03C01,Passenger Journeys,38,2019,-,All Luas lines,Number,990123
TII03C01,Passenger Journeys,38,2019,1,Red line,Number,484461
TII03C01,Passenger Journeys,38,2019,2,Green line,Number,505662
TII03C01,Passenger Journeys,39,2019,-,All Luas lines,Number,1031937
TII03C01,Passenger Journeys,39,2019,1,Red line,Number,515967
TII03C01,Passenger Journeys,39,2019,2,Green line,Number,515970
TII03C01,Passenger Journeys,40,2019,-,All Luas lines,Number,986159
TII03C01,Passenger Journeys,40,2019,1,Red line,Number,484015
TII03C01,Passenger Journeys,40,2019,2,Green line,Number,502144
TII03C01,Passenger Journeys,41,2019,-,All Luas lines,Number,1054749
TII03C01,Passenger Journeys,41,2019,1,Red line,Number,534986
TII03C01,Passenger Journeys,41,2019,2,Green line,Number,519763
TII03C01,Passenger Journeys,42,2019,-,All Luas lines,Number,1014017
TII03C01,Passenger Journeys,42,2019,1,Red line,Number,499959
TII03C01,Passenger Journeys,42,2019,2,Green line,Number,514057
